CDS Code,County,District,School,Status,Closed Date,Website,Latitude,Longitude,Last Update,Street Address,Street City,Street State,Phone,Phone Extension,Email
19642121930346,Los Angeles,ABC Unified,ABC Adult,Active,No Data,http://abcadultschool.edu,33.878924,-118.071286,7/19/2021,12254 Cuesta Dr.,Cerritos,CA,(562) 229-7960,No Data,No Data
19642121933225,Los Angeles,ABC Unified,ABC Evening High School,Closed,11/23/1994,No Data,No Data,No Data,6/24/1999,16800 Shoemaker Ave.,Cerritos,CA,No Data,No Data,No Data
19642121995596,Los Angeles,ABC Unified,ABC Secondary (Alternative),Active,No Data,No Data,33.881547,-118.046358,11/5/2021,16534 South Carmenita Rd.,Cerritos,CA,(562) 229-7768,No Data,No Data
19642126138200,Los Angeles,ABC Unified,Accelerated Christian Academy,Closed,5/12/2016,No Data,Information Redacted,Information Redacted,5/12/2016,Information Redacted,Lakewood,CA,Information Redacted,No Data,Information Redacted
19642126010862,Los Angeles,ABC Unified,Aloha Elementary,Active,No Data,www.alohaes.us,33.835176,-118.083725,11/5/2021,11737 East 214th St.,Lakewood,CA,(562) 229-7825,No Data,No Data
19642121930361,Los Angeles,ABC Unified,Artesia High,Active,No Data,www.artesiahs.us/,33.845962,-118.074404,11/5/2021,12108 East Del Amo Blvd.,Lakewood,CA,(562) 229-7700,No Data,No Data
19642126010870,Los Angeles,ABC Unified,Bloomfield Elementary,Closed,6/30/1989,No Data,No Data,No Data,6/24/1999,12120 E. Carson St.,Hawaiian Gardens,CA,No Data,No Data,No Data
19642126071369,Los Angeles,ABC Unified,Bragg Elementary,Active,No Data,www.bragges.us,33.855106,-118.089062,11/5/2021,11501 Bos St.,Cerritos,CA,(562) 229-7830,No Data,No Data
19642126140438,Los Angeles,ABC Unified,Broman School,Closed,2/28/2014,No Data,Information Redacted,Information Redacted,3/3/2014,Information Redacted,Cerritos,CA,Information Redacted,No Data,No Data
19642126010953,Los Angeles,ABC Unified,Burbank (Luther) Elementary,Active,No Data,www.burbankes.us,33.868839,-118.086673,11/5/2021,17711 Roseton Ave.,Artesia,CA,(562) 229-7835,No Data,No Data
19642126010888,Los Angeles,ABC Unified,Cabrillo Lane Elementary YR,Closed,2/5/1985,No Data,No Data,No Data,6/24/1999,20122 Cabrillo Ln.,Cerritos,CA,No Data,No Data,No Data
19642126010896,Los Angeles,ABC Unified,Carmenita Elem.,Closed,6/30/1989,No Data,No Data,No Data,6/24/1999,No Data,No Data,No Data,No Data,No Data,No Data
19642126066708,Los Angeles,ABC Unified,Carmenita Middle,Active,No Data,www.carmenitams.us,33.880705,-118.045567,11/5/2021,13435 East 166th St.,Cerritos,CA,(562) 229-7775,No Data,No Data
