school,district,street,city,state,zip
Palms Elementary (ABC Unified),ABC Unified,12445 East 207th St.,Lakewood,CA,90715-1619
Ross (Faye) Middle (ABC Unified),ABC Unified,17707 Elaine Ave.,Artesia,CA,90701-4018
Stowers(Cecil B.) Elementary (ABC Unified),ABC Unified,13350 Beach St.,Cerritos,CA,90703-1331
Tetzlaff (Martin B.) Middle (ABC Unified),ABC Unified,12351 East Del Amo Blvd.,Cerritos,CA,90703-7635
Tracy (Wilbur) High (Continuation) (ABC Unified),ABC Unified,12222 Cuesta Dr.,Cerritos,CA,90703-2801
Valley Christian High School (ABC Unified),ABC Unified,17700 Dumont Ave.,Cerritos,CA,90703-2661
Whitney (Gretchen) High (ABC Unified),ABC Unified,16800 Shoemaker Ave.,Cerritos,CA,90703-1244
Willow Elementary (ABC Unified),ABC Unified,11733 East 205th St.,Lakewood,CA,90715-1324
Wittmann (Helen) Elementary (ABC Unified),ABC Unified,16801 Yvette Ave.,Cerritos,CA,90703-1245
ABC Adult (ABC Unified),ABC Unified,12254 Cuesta Dr.,Cerritos,CA,90703-2801
ABC Secondary (Alternative) (ABC Unified),ABC Unified,16534 South Carmenita Rd.,Cerritos,CA,90703-2301
Aloha Elementary (ABC Unified),ABC Unified,11737 East 214th St.,Lakewood,CA,90715-2101
Artesia High (ABC Unified),ABC Unified,12108 East Del Amo Blvd.,Lakewood,CA,90715-1516
Bragg Elementary (ABC Unified),ABC Unified,11501 Bos St.,Cerritos,CA,90703-6742
Burbank (Luther) Elementary (ABC Unified),ABC Unified,17711 Roseton Ave.,Artesia,CA,90701-3837
Carmenita Middle (ABC Unified),ABC Unified,13435 East 166th St.,Cerritos,CA,90703-2301
Carver (Charles J.) Elementary (Cerritos) (ABC Unified),ABC Unified,19200 East Ely St.,Cerritos,CA,90703-7157
Cerritos Elementary (Cerritos) (ABC Unified),ABC Unified,13600 East 183rd St.,Cerritos,CA,90703-8951
Cerritos High (ABC Unified),ABC Unified,12500 East 183rd St.,Cerritos,CA,90703-8450
Elliott (William F) Elementary (ABC Unified),ABC Unified,18415 Cortner Ave.,Artesia,CA,90703-8402
Fedde (Pharis F.) Middle (ABC Unified),ABC Unified,21409 South Elaine Ave.,Hawaiian Gardens,CA,90716-1025
Furgeson (Venn W.) Elementary (ABC Unified),ABC Unified,22215 Elaine Ave.,Hawaiian Gardens,CA,90716-1417
Gahr (Richard) High (ABC Unified),ABC Unified,11111 Artesia Blvd.,Cerritos,CA,90703-2533
Gonsalves (Joe A.) Elementary (ABC Unified),ABC Unified,13650 Park St.,Cerritos,CA,90703-1413
Haskell (Pliny Fisk) Middle (ABC Unified),ABC Unified,11525 Del Amo Blvd.,Cerritos,CA,90703-7404
Hawaiian Elementary (ABC Unified),ABC Unified,12350 East 226th St.,Hawaiian Gardens,CA,90716-1721
Juarez (Benito) Elementary (ABC Unified),ABC Unified,11939 Aclare St.,Cerritos,CA,90703-2709
