Record Type,County,District,School,Status,Latitude,Longitude,Street Address,Street City,Street State,Street Zip
School,Alameda,Alameda County Office of Education,Alameda County Community,Active,37.658212,-122.097138,313 West Winton Ave.,Hayward,CA,94544-1136
School,Alameda,Alameda County Office of Education,Alameda County Juvenile Hall/Court,Active,37.712878,-122.111731,2500 Fairmont Ave.,San Leandro,CA,94578-1005
School,Alameda,Alameda County Office of Education,Alameda County Opportunity,Closed,37.658212,-122.097138,313 West Winton Ave.,Hayward,CA,94544-1136
School,Alameda,Alameda County Office of Education,Alameda County Special Education,Closed,,,685 A St.,Hayward,CA,94541
School,Alameda,Alameda County Office of Education,Alameda County Special Education,Active,37.658212,-122.097138,313 West Winton Ave.,Hayward,CA,94544-1136
School,Alameda,Alameda County Office of Education,Alternatives in Action,Active,37.764464,-122.195409,6221 East 17th St.,Oakland,CA,94621-4107
School,Alameda,Alameda County Office of Education,Aspire California College Preparatory Academy,Closed,37.868991,-122.278442,2125 Jefferson Ave.,Berkeley,CA,94703-1414
School,Alameda,Alameda County Office of Education,Aurum Preparatory Academy,Active,37.758631,-122.196044,1034 66th Ave.,Oakland,CA,94621-3536
School,Alameda,Alameda County Office of Education,Berkeley Trade & Tech. College,Closed,,,,,,
School,Alameda,Alameda County Office of Education,Buena Vista School (Girls),Closed,,,2200 Fairmont Dr.,San Leandro,CA,94578
School,Alameda,Alameda County Office of Education,Burke (William P.) Special Center,Merged,,,612 West A St.,Hayward,CA,94541
School,Alameda,Alameda County Office of Education,Canyon Valley Adult School,Closed,,,,,,
School,Alameda,Alameda County Office of Education,CCYR,Closed,Information Redacted,Information Redacted,Information Redacted,Oakland,CA,94606
School,Alameda,Alameda County Office of Education,Chabot Ranch,Closed,,,2500 Fairmont Dr.,San Leandro,CA,94578
School,Alameda,Alameda County Office of Education,Community School for Creative Education,Active,37.784648,-122.238637,2111 International Blvd.,Oakland,CA,94606-4903
School,Alameda,Alameda County Office of Education,Connecting Waters Charter - East Bay,Active,37.603623,-122.025305,703 C St.,Union City,CA,94587-2195
School,Alameda,Alameda County Office of Education,Cox Academy,Active,37.746513,-122.161825,9860 Sunnyside St.,Oakland,CA,94603-2750
School,Alameda,Alameda County Office of Education,East County Dch,Closed,,,7997 Vomac Rd.,Dublin,CA,94566
School,Alameda,Alameda County Office of Education,Envision Academy for Arts & Technology,Active,37.80452,-122.268155,1515 Webster St.,Oakland,CA,94612-3355
School,Alameda,Alameda County Office of Education,Epic Charter,Active,37.777049,-122.229602,1045 Derby Ave.,Oakland,CA,94601-2212
School,Alameda,Alameda County Office of Education,FAME Public Charter,Closed,37.521436,-121.993919,"39899 Balentine Dr., Ste. 335",Newark,CA,94560-5359
School,Alameda,Alameda County Office of Education,Hayward Collegiate Charter,Active,37.648124,-122.082394,166 West Harder Rd.,Hayward,CA,94544-2742
School,Alameda,Alameda County Office of Education,Juvenile Court Schools,Merged,,,2400 Fairmont Dr.,San Leandro,CA,94578
School,Alameda,Alameda County Office of Education,Koster/Whiteford Special Center,Merged,,,35725 Cedar Ave.,Newark,CA,94560
School,Alameda,Alameda County Office of Education,La Fleche (Rock) Special Center,Merged,,,6925 Chabot Rd.,Oakland,CA,94618
School,Alameda,Alameda County Office of Education,Las Vistas School,Closed,,,2200 Fairmont Dr.,San Leandro,CA,94578
School,Alameda,Alameda County Office of Education,Lazear Charter Academy,Active,37.776239,-122.232073,824 29th Ave.,Oakland,CA,94601-2205
School,Alameda,Alameda County Office of Education,Motta (Ronald) Special Center,Merged,,,40950 Chapel Way,Fremont,CA,94538
School,Alameda,Alameda County Office of Education,New Learning Grove Academy,Closed,Information Redacted,Information Redacted,Information Redacted,Dublin,CA,94568-5401
School,Alameda,Alameda County Office of Education,New Village Community Public Charter East Bay,Closed,,,,,,
School,Alameda,Alameda County Office of Education,Oakland Unity Middle,Active,37.759123,-122.190946,1180 70th Ave.,Oakland,CA,94621-3216
School,Alameda,Alameda County Office of Education,Opportunity Academy,Active,37.65851,-122.098346,313 West Winton Ave.,Hayward,CA,94544-1136
School,Alameda,Alameda County Office of Education,Roosevelt High (Defunct),Closed,,,,,,
School,Alameda,Alameda County Office of Education,School for School-Age Mothers,Merged,,,8151 Village Pkwy.,Dublin,CA,94568
School,Alameda,Alameda County Office of Education,Senior Camp,Closed,,,2600 Fairmont Dr.,San Leandro,CA,94578
School,Alameda,Alameda County Office of Education,Sequoia Deaf/Blind Program,Closed,,,685 A St.,Hayward,CA,94541
School,Alameda,Alameda County Office of Education,Snedigar Cottage,Closed,,,2100 Fairmont Dr.,San Leandro,CA,94578
School,Alameda,Alameda County Office of Education,Soli Deo Gloria Christian School,Closed,Information Redacted,Information Redacted,Information Redacted,Oakland,CA,94619-1022
School,Alameda,Alameda County Office of Education,"Technical, Agricultural & Nat.",Closed,,,597 C St.,Hayward,CA,94541
School,Alameda,Alameda County Office of Education,University High School (Defunc,Closed,,,,,,
School,Alameda,Alameda County Office of Education,Urban Montessori Charter,Active,37.786794,-122.188174,4551 Steele St.,Oakland,CA,94619-3312
School,Alameda,Alameda County Office of Education,Washington Evening High (Defun,Closed,,,,,,
School,Alameda,Alameda County Office of Education,Whiteford (June) School,Merged,,,35725 Cedar Blvd.,Newark,CA,94560
School,Alameda,Alameda County Office of Education,Whiteford School (TMR),Closed,,,685 A St.,Hayward,CA,94541
School,Alameda,Alameda County Office of Education,Yu Ming Charter,Active,37.847375,-122.283564,1086 Alcatraz Ave.,Oakland,CA,94608-1265
