id,california_oid,phone,participating,rowid,school,district_y,address_y,status,latitude,longitude,Match
0,19643521933951,(310) 263-4400,True,6,Hawthorne High (Centinela Valley Union High),Centinela Valley Union High,4859 West El Segundo Blvd.,Active,33.916456,-118.362903,
1,19643521934926,(310) 263-3100,True,7,Lawndale High (Centinela Valley Union High),Centinela Valley Union High,14901 South Inglewood Ave.,Active,33.896373,-118.361369,
2,196435219348,(310) 263-2200,True,8,Leuzinger High (Centinela Valley Union High),Centinela Valley Union High,4118 West Rosecrans Ave.,Active,33.901370,-118.346870,
3,196435219239,(310) 263-3264,True,3,R. K. Lloyde High (Centinela Valley Union High),Centinela Valley Union High,4951 Marine Ave.,Active,33.895165,-118.365993,
4,196473121285,(323) 744-2122,True,91,Alliance Cindy and Bill Simon Technology Academy High (Alliance College Ready Public Schools District),Alliance College Ready Public Schools District,10720 South Wilmington Ave.,Active,33.938494,-118.238742,
5,1964731216,(323) 600-6099,True,686,Animo Legacy Charter Middle (Green Dot Charter Schools District),Green Dot Charter Schools District,12226 South Western Ave.,Active,33.920533,-118.306787,
6,196473319347,(818) 758-5265,True,9,Birmingham Community Charter High (Independent Charter Schools District),Independent Charter Schools District,17000 Haynes St.,Active,34.188953,-118.504900,
7,1919134346,(714) 697-8068,True,837,Intellectual Virtues Academy of Long Beach (Independent Charter Schools District),Independent Charter Schools District,3601 Linden Ave.,Active,33.787916,-118.189829,
8,1964731314,(323) 644-9861,True,7,Libertas College Preparatory Charter (Independent Charter Schools District),Independent Charter Schools District,3875 Dublin Ave.,Closed,33.811600,-118.270797,
10,196446919379,(626) 599-5901,True,494,Mt. Olive Innovation and Technology High (Duarte Unified),Duarte Unified,1238 Brycedale Ave.,Active,34.137288,-117.955037,
11,196473318535,323-756-8137,True,56,One Hundred Seventh Street/107th St. Elementary (LAUSD),Los Angeles Unified,147 East 107th St.,Active,33.939372,-118.272665,
12,196473319459,213-380-8990,True,1883,Tenth Street/10th St.Elementary (LAUSD),Los Angeles Unified,1000 Grattan St.,Active,34.048370,-118.273484,
13,196473318568,323-567-2108,True,59,One Hundred Twelfth Street/112th St. Elementary (LAUSD),Los Angeles Unified,1265 East 112th St.,Active,33.933190,-118.252703,
14,196473318543,323-754-3121,True,57,One Hundred Sixteenth Street/ 116th St. Elementary (LAUSD),Los Angeles Unified,11610 Stanford Ave.,Active,33.928201,-118.262085,
15,196473318493,310-324-6639,True,53,One Hundred Fifty-Sixth Street/156th St.Elementary (LAUSD),Los Angeles Unified,2100 West 156th St.,Active,33.889203,-118.316030,
16,196473318477,310-324-1153,True,52,One Hundred Eighty-Sixth Street/186th St. Elementary (LAUSD),Los Angeles Unified,1581 West 186th St.,Active,33.862036,-118.305052,
17,1964733198,323-735-0278,True,1387,Twenty-Fourth Street/24th St. Elementary(LAUSD),Los Angeles Unified,2055 West 24th St.,Closed,34.061133,-118.264883,
20,1964733198,310-475-5893,True,1416,Warner Avenue Elementary(LAUSD),Los Angeles Unified,615 Holmby Ave.,Closed,34.061133,-118.264883,
23,196473319475,213-748-0126,True,1411,Thirty-Second Street/ 32nd St. USC Performing Arts(LAUSD),Los Angeles Unified,822 West 32nd St.,Active,34.025192,-118.282921,
24,196473317149,323-234-9045,True,1529,Forty-Ninth Street/40th St.Elementary(LAUSD),Los Angeles Unified,750 East 49th St.,Active,33.998605,-118.261879,
25,196473133744,323-268-8775,True,1533,Fourth Street/4th St. Primary Center(LAUSD),Los Angeles Unified,469 Amalia Ave.,Active,34.027352,-118.154454,
