id,district_x,district_y,original_name_x,original_name_y,status,school_name,school_name_with_some_districts_attached,participating,address_x,address_y,city_x,city_y,score,duped
0,Centinela Valley,Centinela Valley Union High,Hawthorne High,Hawthorne High,Active,Hawthorne High (Centinela Valley),Hawthorne High,True,4859 West El Segundo Blvd.,4859 West El Segundo Blvd.,Hawthorne,Hawthorne, 95.0,False
1,Centinela Valley,Centinela Valley Union High,Lawndale High,Lawndale High,Active,Lawndale High (Centinela Valley),Lawndale High,True,14901 S. Inglewood Avenue,14901 South Inglewood Ave.,Lawndale,Lawndale, 86.53465346534652,False
2,Centinela Valley,Centinela Valley Union High,Leuzinger High,Leuzinger High,Active,Leuzinger High (Centinela Valley),Leuzinger High,True,4118 West Rosecrans Ave.,4118 West Rosecrans Ave.,Lawndale,Lawndale, 95.0,False
3,Centinela Valley,Centinela Valley Union High,R. K. Lloyde High,R. K. Lloyde High,Active,R. K. Lloyde High (Centinela Valley),R. K. Lloyde High,True,4951 Marine Ave.,4951 Marine Ave.,Lawndale,Lawndale, 95.0,False
4,Charter,,Alliance Alice M. Baxter College-Ready High School,,,Alliance Alice M. Baxter College-Ready High School (Charter),Alliance Alice M. Baxter College-Ready High School,True,"461 9th Street, San Pedro",,San Pedro,,,False
5,Charter,,Alliance Cindy and Bill Simon Technology High School,,,Alliance Cindy and Bill Simon Technology High School (Charter),Alliance Cindy and Bill Simon Technology High School,True,10720 Wilmington Avenue,,Los Angeles,,,False
6,Charter,LAUSD,Alliance College-Ready Middle Academy 12,Alliance College-Ready Middle Academy 12,Active,Alliance College-Ready Middle Academy 12 (Charter),Alliance College-Ready Middle Academy 12,True,131 E. 50th Street,131 East 50th St.,Los Angeles,Los Angeles, 86.82170542635659,False
7,Charter,LAUSD,Alliance College-Ready Middle Academy 4,Alliance College-Ready Middle Academy 4,Active,Alliance College-Ready Middle Academy 4 (Charter),Alliance College-Ready Middle Academy 4,True,9719 S Main Street,9719 South Main St.,Los Angeles,Los Angeles, 86.15384615384616,False
8,Charter,LAUSD,Alliance College-Ready Middle Academy 5,Alliance College-Ready Middle Academy 5,Closed,Alliance College-Ready Middle Academy 5 (Charter),Alliance College-Ready Middle Academy 5,True,211 South Avenue 20,211 South Avenue 20,Los Angeles,Los Angeles, 92.42424242424242,False
9,Charter,LAUSD,Alliance College-Ready Middle Academy 8,Alliance College-Ready Middle Academy 8,Active,Alliance College-Ready Middle Academy 8 (Charter),Alliance College-Ready Middle Academy 8,True,113 S. Rowan Avenue,113 South Rowan Ave.,Los Angeles,Los Angeles, 87.02290076335878,False
10,Charter,LAUSD,Alliance Collins Family College-Ready High School,Alliance Collins Family College-Ready High,Active,Alliance Collins Family College-Ready High School (Charter),Alliance Collins Family College-Ready High School,True,2071 Saturn Avenue,2071 Saturn Ave.,Huntington Park,Huntington Park, 87.14285714285714,False
11,Charter,,Alliance Dr. Olga Mohan High School,,,Alliance Dr. Olga Mohan High School (Charter),Alliance Dr. Olga Mohan High School,True,644 West 17th Street,,Los Angeles,,,False
12,Charter,LAUSD,Alliance Gertz-Ressler Richard Merkin 6-12 Complex,Alliance Gertz-Ressler Richard Merkin 6-12 Complex,Active,Alliance Gertz-Ressler Richard Merkin 6-12 Complex (Charter),Alliance Gertz-Ressler Richard Merkin 6-12 Complex (LAUSD),True,2023 South Union Avenue,2023 South Union Ave.,Los Angeles,Los Angeles, 91.82389937106919,True
13,Charter,LAUSD,Alliance Gertz-Ressler Richard Merkin 6-12 Complex,Alliance Gertz-Ressler Richard Merkin 6-12 Complex,Active,Alliance Gertz-Ressler Richard Merkin 6-12 Complex (Charter),Alliance Gertz-Ressler Richard Merkin 6-12 Complex (LAUSD),True,2023 South Union Avenue,2023 South Union Ave.,Los Angeles,Los Angeles, 91.82389937106919,True
14,Charter,,Alliance Jack H. Skirball Middle School,,,Alliance Jack H. Skirball Middle School (Charter),Alliance Jack H. Skirball Middle School,True,603 E. 115th Street,,Los Angeles,,,False
15,Charter,LAUSD,Alliance Judy Ivie Burton Technology Academy High School,Alliance Judy Ivie Burton Technology Academy High,Active,Alliance Judy Ivie Burton Technology Academy High School (Charter),Alliance Judy Ivie Burton Technology Academy High School,True,10101 S Broadway,10101 South Broadway,Los Angeles,Los Angeles, 87.89808917197452,False
16,Charter,LAUSD,Alliance Kory Hunter Middle School,Alliance Kory Hunter Middle,Active,Alliance Kory Hunter Middle School (Charter),Alliance Kory Hunter Middle School,True,5886 Compton Ave,5886 Compton Ave.,Los Angeles,Los Angeles, 88.93617021276596,False
17,Charter,,Alliance Leadership Middle Academy,,,Alliance Leadership Middle Academy (Charter),Alliance Leadership Middle Academy,True,2941 West 70th Street,,Los Angeles,,,False
18,Charter,LAUSD,Alliance Leichtman-Levine Family Foundation Environmental Science High School,Alliance Leichtman-Levine Family Foundation Environmental Science High,Active,Alliance Leichtman-Levine Family Foundation Environmental Science High School (Charter),Alliance Leichtman-Levine Family Foundation Environmental Science High School,True,2930 Fletcher Drive,2930 Fletcher Dr.,Los Angeles,Los Angeles, 90.9090909090909,False
19,Charter,LAUSD,Alliance Marc and Eva Stern Math and Science School,Alliance Marc & Eva Stern Math and Science,Active,Alliance Marc and Eva Stern Math and Science School (Charter),Alliance Marc and Eva Stern Math and Science School,True,5151 State University Drive,5151 State University Dr.,Los Angeles,Los Angeles, 88.57142857142857,False
20,Charter,LAUSD,Alliance Margaret M. Bloomfield Technology Academy High School,Alliance Margaret M. Bloomfield Technology Academy High,Active,Alliance Margaret M. Bloomfield Technology Academy High School (Charter),Alliance Margaret M. Bloomfield Technology Academy High School,True,7907 Santa Fe Ave,7907 Santa Fe Ave.,Huntington Park,Huntington Park, 91.19999999999999,False
21,Charter,LAUSD,Alliance Marine - Innovation and Technology 6-12 Complex,Alliance Marine - Innovation and Technology 6-12 Complex,Active,Alliance Marine - Innovation and Technology 6-12 Complex (Charter),Alliance Marine - Innovation and Technology 6-12 Complex (LAUSD),True,11933 Allegheny Street,11933 Allegheny St.,Sun Valley,Sun Valley, 91.66666666666666,True
22,Charter,LAUSD,Alliance Marine - Innovation and Technology 6-12 Complex,Alliance Marine - Innovation and Technology 6-12 Complex,Active,Alliance Marine - Innovation and Technology 6-12 Complex (Charter),Alliance Marine - Innovation and Technology 6-12 Complex (LAUSD),True,11933 Allegheny Street,11933 Allegheny St.,Sun Valley,Sun Valley, 91.66666666666666,True
23,Charter,,Alliance Morgan McKinzie High School,,,Alliance Morgan McKinzie High School (Charter),Alliance Morgan McKinzie High School,True,110 S. Townsend Ave.,,Los Angeles,,,False
24,Charter,,Alliance Ouchi-O'Donovan 6-12 Complex,,,Alliance Ouchi-O'Donovan 6-12 Complex (Charter),,True,5355 4th Avenue,,Los Angeles,,,True
25,Charter,LAUSD,Alliance Ouchi-O'Donovan 6-12 Complex,Alliance Ouchi-O'Donovan 6-12 Complex,Active,Alliance Ouchi-O'Donovan 6-12 Complex (Charter),Alliance Ouchi-O'Donovan 6-12 Complex (LAUSD),True,5356 South 5th Avenue,5356 South Fifth Ave.,Los Angeles,Los Angeles, 87.02290076335878,True
26,Charter,,Alliance Patti & Peter Neuwirth Leadership Academy,,,Alliance Patti & Peter Neuwirth Leadership Academy (Charter),Alliance Patti & Peter Neuwirth Leadership Academy,True,4610 S. Main Street,,Los Angeles,,,False
27,Charter,LAUSD,Alliance Piera Barbaglia Shaheen Health Services Academy,Alliance Piera Barbaglia Shaheen Health Services Academy,Active,Alliance Piera Barbaglia Shaheen Health Services Academy (Charter),Alliance Piera Barbaglia Shaheen Health Services Academy,True,New: 8515 Kansas Avenue,8515 Kansas Ave.,Los Angeles,Los Angeles, 89.1566265060241,False
28,Charter,,Alliance Renee & Meyer Luskin Academy High School,,,Alliance Renee & Meyer Luskin Academy High School (Charter),Alliance Renee & Meyer Luskin Academy High School,True,2941 West 70th Street,,Los Angeles,,,False
