id,district,status,school_name,school_name_with_some_districts_attached,participating,address_x,address_y,city_x,city_y,score,duped
0,Centinela Valley,Active,Hawthorne High (Centinela Valley),Hawthorne High,True,4859 West El Segundo Blvd.,4859 West El Segundo Blvd.,Hawthorne,Hawthorne, 100.0,False
1,Centinela Valley,Active,Lawndale High (Centinela Valley),Lawndale High (Centinela Valley Union High),True,14901 S. Inglewood Avenue,14901 South Inglewood Ave.,Lawndale,Lawndale, 100.0,True
2,Centinela Valley,Closed,Lawndale High (Centinela Valley),Lawndale High (Los Angeles County Special Ed),True,14901 S. Inglewood Avenue,14901 Inglewood Ave.,Lawndale,Lawndale, 100.0,True
3,Centinela Valley,Active,Leuzinger High (Centinela Valley),Leuzinger High,True,4118 West Rosecrans Ave.,4118 West Rosecrans Ave.,Lawndale,Lawndale, 100.0,False
4,Centinela Valley,Active,R. K. Lloyde High (Centinela Valley),R. K. Lloyde High,True,4951 Marine Ave.,4951 Marine Ave.,Lawndale,Lawndale, 100.0,False
5,Charter,,Alliance Alice M. Baxter College-Ready High School (Charter),Alliance Alice M. Baxter College-Ready High School,True,"461 9th Street, San Pedro",,San Pedro,, 95.0,False
6,Charter,,Alliance Cindy and Bill Simon Technology High School (Charter),Alliance Cindy and Bill Simon Technology High School,True,10720 Wilmington Avenue,,Los Angeles,, 90.0,False
7,Charter,Active,Alliance College-Ready Middle Academy 12 (Charter),Alliance College-Ready Middle Academy 12,True,131 E. 50th Street,131 East 50th St.,Los Angeles,Los Angeles, 100.0,False
8,Charter,Active,Alliance College-Ready Middle Academy 4 (Charter),Alliance College-Ready Middle Academy 4,True,9719 S Main Street,9719 South Main St.,Los Angeles,Los Angeles, 100.0,False
9,Charter,Closed,Alliance College-Ready Middle Academy 5 (Charter),Alliance College-Ready Middle Academy 5,True,211 South Avenue 20,211 South Avenue 20,Los Angeles,Los Angeles, 100.0,False
10,Charter,Active,Alliance College-Ready Middle Academy 8 (Charter),Alliance College-Ready Middle Academy 8,True,113 S. Rowan Avenue,113 South Rowan Ave.,Los Angeles,Los Angeles, 100.0,False
