CDSCode,NCESDist,NCESSchool,StatusType,County,District,School,Street,StreetAbr,City,Zip,State,MailStreet,MailStrAbr,MailCity,MailZip,MailState,Phone,Ext,FaxNumber,Email,WebSite,OpenDate,ClosedDate,Charter,CharterNum,FundingType,DOC,DOCType,SOC,SOCType,EdOpsCode,EdOpsName,EILCode,EILName,GSoffered,GSserved,Virtual,Magnet,YearRoundYN,FederalDFCDistrictID,Latitude,Longitude,AdmFName,AdmLName,AdmEmail,LastUpDate
1.9102E+13,691078,11339,Active,Los Angeles,Los Angeles County Office of Education,North Valley Military Institute College Preparatory Academy,12105 Allegheny Street,12105 Allegheny St.,Sun Valley,91352,CA,"8309 Laurel Canyon Boulevard, #295","8309 Laurel Canyon Blvd., #295",Sun Valley,91352,CA,(818) 368-1557,No Data,(818) 368-1935,info@novamil.org,http://novamil.org,37866,No Data,Y,540,Directly funded,0,County Office of Education (COE),65,K-12 Schools (Public),TRAD,Traditional,ELEMHIGH,Elementary-High Combination,44724,44724,C,N,N,601564,34.234622,-118.39656,Mark,Ryan,mryan@novamil.org,44056
1.9102E+13,691078,10853,Active,Los Angeles,Los Angeles County Office of Education,Jardin de la Infancia,"1400 S Broadway Los Angeles, CA 90015","1400 S Broadway Los Angeles, CA 90015",Los Angeles,90015-2209,CA,"1400 S Broadway Los Angeles, CA 90015","1400 S Broadway Los Angeles, CA 90015",Los Angeles,90015,CA,(213) 614-1745,No Data,(213) 614-2046,No Data,No Data,38231,No Data,Y,663,Directly funded,0,County Office of Education (COE),60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-1,K-1,N,N,N,602019,34.035321,-118.26241,Zuzy,Chavez,jardindelainfancia@me.com,44439
1.9102E+13,691078,10891,Active,Los Angeles,Los Angeles County Office of Education,Aspire Antonio Maria Lugo Academy,6100 Carmelita Avenue,6100 Carmelita Ave.,Huntington Park,90255-4138,CA,"1001 22nd Avenue, Suite 100","1001 22nd Ave., Ste. 100",Oakland,94606,CA,(323) 585-1153,No Data,(323) 585-1283,data-contact@aspirepublicschools.org,http://www.aspirepublicschools.org,38601,No Data,Y,694,Directly funded,0,County Office of Education (COE),60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-6,K-5,N,N,Y,601821,33.984203,-118.19659,Dawn,Barnes,data-contact@aspirepublicschools.org,44504
1.9102E+13,691078,11655,Active,Los Angeles,Los Angeles County Office of Education,Aspire Ollin University Preparatory Academy,2540 East 58th Street,2540 East 58th St.,Huntington Park,90255-2659,CA,2540 East 58th Street,2540 East 58th St.,Huntington Park,90255-2659,CA,(323) 277-2901,No Data,(323) 587-3978,data-contact@aspirepublicschools.org,http://www.aspirepublicschools.org,38971,No Data,Y,693,Directly funded,0,County Office of Education (COE),65,K-12 Schools (Public),TRAD,Traditional,ELEMHIGH,Elementary-High Combination,44724,44724,N,N,Y,601857,33.990154,-118.22653,Joel,Ramirez,data-contact@aspirepublicschools.org,44504
1.9102E+13,691078,12010,Active,Los Angeles,Los Angeles County Office of Education,Magnolia Science Academy 3,1254 East Helmick Street,1254 East Helmick St.,Carson,90746-3164,CA,1254 East Helmick Street,1254 East Helmick St.,Carson,90746-3164,CA,(310) 637-3806,No Data,(310) 933-4767,No Data,http://msa3.magnoliapublicschools.org,39694,No Data,Y,917,Directly funded,0,County Office of Education (COE),65,K-12 Schools (Public),TRAD,Traditional,ELEMHIGH,Elementary-High Combination,44724,44724,N,N,Y,602194,33.851607,-118.24957,Zekeriya,Ocel,zocel@magnoliapublicschools.org,44504
1.9102E+13,691078,11842,Active,Los Angeles,Los Angeles County Office of Education,Magnolia Science Academy 2,17125 Victory Boulevard,17125 Victory Blvd.,Van Nuys,91406-5455,CA,17125 Victory Boulevard,17125 Victory Blvd.,Van Nuys,91406-5455,CA,(818) 758-0300,No Data,(818) 758-0333,No Data,http://msa2.magnoliapublicschools.org,39330,No Data,Y,906,Directly funded,0,County Office of Education (COE),65,K-12 Schools (Public),TRAD,Traditional,ELEMHIGH,Elementary-High Combination,44724,44724,C,N,Y,602319,34.18669,-118.50542,David,Garner,dgarner@magnoliapublicschools.org,44504
1.9102E+13,691078,12673,Active,Los Angeles,Los Angeles County Office of Education,Environmental Charter Middle,812 West 165th Place,812 West 165th Pl.,Gardena,90247-5105,CA,812 West 165th Place,812 West 165th Pl.,Gardena,90247-5105,CA,(310) 425-1605,No Data,(310) 217-1096,info@ecsonline.org,http://www.ecmsgardena.org,40421,No Data,Y,1204,Directly funded,0,County Office of Education (COE),62,Intermediate/Middle Schools (Public),TRAD,Traditional,INTMIDJR,Intermediate/Middle/Junior High,44720,44720,N,N,Y,601708,33.880446,-118.28957,Dave,Trejo,dave_trejo@ecsonline.org,44056
1.9102E+13,691078,12665,Active,Los Angeles,Los Angeles County Office of Education,"Nidorf, Barry J.",16350 Filbert Street,16350 Filbert St.,Sylmar,91342,CA,9300 Imperial Highway,9300 Imperial Hwy.,Downey,90242,CA,(818) 367-5942,No Data,(818) 362-8948,No Data,No Data,40360,No Data,N,No Data,No Data,0,County Office of Education (COE),14,Juvenile Court Schools,JUV,Juvenile Court School,HS,High School,44724,44785,N,N,N,No Data,34.314485,-118.48412,Ruben,Carranza,carranza_ruben@lacoe.edu,44504
1.9102E+13,691078,12696,Active,Los Angeles,Los Angeles County Office of Education,Central Juvenile Hall,1605 Eastlake Avenue,1605 Eastlake Ave.,Los Angeles,90033,CA,9300 Imperial Highway,9300 Imperial Hwy.,Downey,90242,CA,(323) 225-4362,No Data,(323) 225-3274,No Data,No Data,40360,No Data,N,No Data,No Data,0,County Office of Education (COE),14,Juvenile Court Schools,JUV,Juvenile Court School,HS,High School,44724,44816,N,N,N,No Data,34.063497,-118.20587,Michael,Massa,massa_michael@lacoe.edu,44056
1.9102E+13,691078,12777,Active,Los Angeles,Los Angeles County Office of Education,"Kirby, Dorothy Camp",1500 South McDonnell Avenue,1500 South McDonnell Ave.,City Of Commerce,90040,CA,9300 Imperial Highway,9300 Imperial Hwy.,Downey,90242,CA,(323) 263-5106,No Data,(323) 263-0675,No Data,No Data,40360,No Data,N,No Data,No Data,0,County Office of Education (COE),14,Juvenile Court Schools,JUV,Juvenile Court School,HS,High School,44754,44785,N,N,N,No Data,34.011983,-118.17019,Donna,Baker,baker_donna@lacoe.edu,44362
