,district,name,address,city,phone,email,original_name
0,Centinela Valley,hawthorne-high-4859-west-el-segundo-blvd-centinela-valley,4859 West El Segundo Blvd.,Hawthorne,(310) 263-4400,No Data,Hawthorne High
1,Centinela Valley,lawndale-high-14901-s-inglewood-avenue-centinela-valley,14901 S. Inglewood Avenue,Lawndale,(310) 263-3100,No Data,Lawndale High
2,Centinela Valley,leuzinger-high-4118-west-rosecrans-ave-centinela-valley,4118 West Rosecrans Ave.,Lawndale,(310) 263-2200,No Data,Leuzinger High
3,Centinela Valley,r-k-lloyde-high-4951-marine-ave-centinela-valley,4951 Marine Ave.,Lawndale,(310) 263-3264,No Data,R. K. Lloyde High
4,Charter,"alliance-alice-m-baxter-college-ready-high-school-461-9th-street,-san-pedro-charter","461 9th Street, San Pedro",San Pedro,(310) 221-0430,,Alliance Alice M. Baxter College-Ready High School
5,Charter,alliance-cindy-and-bill-simon-technology-high-school-10720-wilmington-avenue-charter,10720 Wilmington Avenue,Los Angeles,(323) 744-2122,No Data,Alliance Cindy and Bill Simon Technology High School
6,Charter,alliance-college-ready-middle-academy-12-131-e-50th-street-charter,131 E. 50th Street,Los Angeles,(323) 238-7270,No Data,Alliance College-Ready Middle Academy 12
7,Charter,alliance-college-ready-middle-academy-4-9719-s-main-street-charter,9719 S Main Street,Los Angeles,(323) 451-3009,No Data,Alliance College-Ready Middle Academy 4
8,Charter,alliance-college-ready-middle-academy-5-211-south-avenue-20-charter,211 South Avenue 20,Los Angeles,(323) 352-8034,No Data,Alliance College-Ready Middle Academy 5
9,Charter,alliance-college-ready-middle-academy-8-113-s-rowan-avenue-charter,113 S. Rowan Avenue,Los Angeles,(323) 269-2156,No Data,Alliance College-Ready Middle Academy 8
10,Charter,alliance-collins-family-college-ready-high-school-2071-saturn-avenue-charter,2071 Saturn Avenue,Huntington Park,(323) 923-1588,No Data,Alliance Collins Family College-Ready High School
11,Charter,alliance-dr-olga-mohan-high-school-644-west-17th-street-charter,644 West 17th Street,Los Angeles,(213) 342-2870,No Data,Alliance Dr. Olga Mohan High School
12,Charter,alliance-gertz-ressler-richard-merkin-6-12-complex-2023-south-union-avenue-charter,2023 South Union Avenue,Los Angeles,(213) 745-8141,No Data,Alliance Gertz-Ressler Richard Merkin 6-12 Complex
13,Charter,alliance-gertz-ressler-richard-merkin-6-12-complex-2023-south-union-avenue-charter,2023 South Union Avenue,Los Angeles,(213) 748-0141,No Data,Alliance Gertz-Ressler Richard Merkin 6-12 Complex
14,Charter,alliance-jack-h-skirball-middle-school-603-e-115th-street-charter,603 E. 115th Street,Los Angeles,(323) 905-1377,No Data,Alliance Jack H. Skirball Middle School
15,Charter,alliance-judy-ivie-burton-technology-academy-high-school-10101-s-broadway-charter,10101 S Broadway,Los Angeles,(323) 920-6125,No Data,Alliance Judy Ivie Burton Technology Academy High School
16,Charter,alliance-kory-hunter-middle-school-5886-compton-ave-charter,5886 Compton Ave,Los Angeles,(323) 484-0450,No Data,Alliance Kory Hunter Middle School
17,Charter,alliance-leadership-middle-academy-2941-west-70th-street-charter,2941 West 70th Street,Los Angeles,(323) 920-4388,,Alliance Leadership Middle Academy
18,Charter,alliance-leichtman-levine-family-foundation-environmental-science-high-school-2930-fletcher-drive-charter,2930 Fletcher Drive,Los Angeles,(323) 739-0560,No Data,Alliance Leichtman-Levine Family Foundation Environmental Science High School
19,Charter,alliance-marc-and-eva-stern-math-and-science-school-5151-state-university-drive-charter,5151 State University Drive,Los Angeles,(323) 987-2144,No Data,Alliance Marc and Eva Stern Math and Science School
20,Charter,alliance-margaret-m-bloomfield-technology-academy-high-school-7907-santa-fe-ave-charter,7907 Santa Fe Ave,Huntington Park,(323) 537-2060,No Data,Alliance Margaret M. Bloomfield Technology Academy High School
21,Charter,alliance-marine---innovation-and-technology-6-12-complex-11933-allegheny-street-charter,11933 Allegheny Street,Sun Valley,(747) 223-2649,No Data,Alliance Marine - Innovation and Technology 6-12 Complex
22,Charter,alliance-marine---innovation-and-technology-6-12-complex-11933-allegheny-street-charter,11933 Allegheny Street,Sun Valley,(747) 223-2766,No Data,Alliance Marine - Innovation and Technology 6-12 Complex
23,Charter,alliance-morgan-mckinzie-high-school-110-s-townsend-ave-charter,110 S. Townsend Ave.,Los Angeles,(323) 526-8198,No Data,Alliance Morgan McKinzie High School
24,Charter,alliance-ouchi-o'donovan-6-12-complex-5355-4th-avenue-charter,5355 4th Avenue,Los Angeles,(323) 294-3172,,Alliance Ouchi-O'Donovan 6-12 Complex
25,Charter,alliance-ouchi-o'donovan-6-12-complex-5356-south-5th-avenue-charter,5356 South 5th Avenue,Los Angeles,(323) 596-2290,No Data,Alliance Ouchi-O'Donovan 6-12 Complex
26,Charter,alliance-patti-&-peter-neuwirth-leadership-academy-4610-s-main-street-charter,4610 S. Main Street,Los Angeles,(213) 342-2874,,Alliance Patti & Peter Neuwirth Leadership Academy
27,Charter,alliance-piera-barbaglia-shaheen-health-services-academy-new:-8515-kansas-avenue-charter,New: 8515 Kansas Avenue,Los Angeles,(323) 972-9010,No Data,Alliance Piera Barbaglia Shaheen Health Services Academy
28,Charter,alliance-renee-&-meyer-luskin-academy-high-school-2941-west-70th-street-charter,2941 West 70th Street,Los Angeles,(323) 905-1210,No Data,Alliance Renee & Meyer Luskin Academy High School
29,Charter,alliance-susan-and-eric-smidt-technology-high-school-211-south-avenue-20-charter,211 South Avenue 20,Los Angeles,(323) 352-3206,No Data,Alliance Susan and Eric Smidt Technology High School
30,Charter,"alliance-ted-k-tajima-high-school-1552-rockwood-st,-los-angeles-charter","1552 Rockwood St, Los Angeles",Los Angeles,(213) 241-8533,No Data,Alliance Ted K. Tajima High School
31,Charter,alliance-tennenbaum-family-technology-high-school-2050-n-san-fernando-road-charter,2050 N. San Fernando Road,Los Angeles,(323) 276-5545,No Data,Alliance Tennenbaum Family Technology High School
32,Charter,animo-city-of-champions-9330-s-8th-ave-charter,9330 S. 8th Ave.,Los Angeles,(323) 565-1600,,Animo City of Champions
33,Charter,animo-compton-charter-school-13305-s-san-pedro-st-charter,13305 S. San Pedro St.,Los Angeles,(323) 565-4415,,Animo Compton Charter School
