,district_x,name,address_x,city,original_name_x,Match,simple_name,district_y,status,address_y,Score,,,
0,Centinela Valley,hawthorne-high,4859 West El Segundo Blvd.,Hawthorne,Hawthorne High,"[('hawthorne high', 100.0, 'hawthorne-high')]",hawthorne-high,Centinela Valley Union High,Active,4859 West El Segundo Blvd.,100,,,
1,Centinela Valley,lawndale-high,14901 S. Inglewood Avenue,Lawndale,Lawndale High,"[('lawndale high', 100.0, 'lawndale-high')]",lawndale-high,Centinela Valley Union High,Active,14901 South Inglewood Ave.,100,,,
2,Centinela Valley,lawndale-high,14901 S. Inglewood Avenue,Lawndale,Lawndale High,"[('lawndale high', 100.0, 'lawndale-high')]",lawndale-high,Los Angeles County Special Ed,Closed,14901 Inglewood Ave.,100,,,
3,Centinela Valley,leuzinger-high,4118 West Rosecrans Ave.,Lawndale,Leuzinger High,"[('leuzinger high', 100.0, 'leuzinger-high')]",leuzinger-high,Centinela Valley Union High,Active,4118 West Rosecrans Ave.,100,,,
4,Centinela Valley,r-k-lloyde-high,4951 Marine Ave.,Lawndale,R. K. Lloyde High,"[('r k lloyde high', 100.0, 'r-k-lloyde-high')]",r-k-lloyde-high,Centinela Valley Union High,Active,4951 Marine Ave.,100,,,
5,Charter,alliance-alice-m-baxter-college-ready-high-school,"461 9th Street, San Pedro",San Pedro,Alliance Alice M. Baxter College-Ready High School,"[('alliance alice m baxter college ready high', 95.0, 'alliance-alice-m-baxter-college-ready-high')]",alliance-alice-m-baxter-college-ready-high,,,,95,,,
6,Charter,alliance-cindy-and-bill-simon-technology-high-school,10720 Wilmington Avenue,Los Angeles,Alliance Cindy and Bill Simon Technology High School,"[('technology high', 90.0, 'technology-high')]",technology-high,,,,90,,,
7,Charter,alliance-college-ready-middle-academy-12,131 E. 50th Street,Los Angeles,Alliance College-Ready Middle Academy 12,"[('alliance college ready middle academy 12', 100.0, 'alliance-college-ready-middle-academy-12')]",alliance-college-ready-middle-academy-12,Los Angeles Unified,Active,131 East 50th St.,100,,,
8,Charter,alliance-college-ready-middle-academy-4,9719 S Main Street,Los Angeles,Alliance College-Ready Middle Academy 4,"[('alliance college ready middle academy 4', 100.0, 'alliance-college-ready-middle-academy-4')]",alliance-college-ready-middle-academy-4,Los Angeles Unified,Active,9719 South Main St.,100,,,
9,Charter,alliance-college-ready-middle-academy-5,211 South Avenue 20,Los Angeles,Alliance College-Ready Middle Academy 5,"[('alliance college ready middle academy 5', 100.0, 'alliance-college-ready-middle-academy-5')]",alliance-college-ready-middle-academy-5,Los Angeles Unified,Closed,211 South Avenue 20,100,,,
10,Charter,alliance-college-ready-middle-academy-8,113 S. Rowan Avenue,Los Angeles,Alliance College-Ready Middle Academy 8,"[('alliance college ready middle academy 8', 100.0, 'alliance-college-ready-middle-academy-8')]",alliance-college-ready-middle-academy-8,Los Angeles Unified,Active,113 South Rowan Ave.,100,,,
11,Charter,alliance-collins-family-college-ready-high-school,2071 Saturn Avenue,Huntington Park,Alliance Collins Family College-Ready High School,"[('alliance collins family college ready high', 95.0, 'alliance-collins-family-college-ready-high')]",alliance-collins-family-college-ready-high,,,,95,,,
12,Charter,alliance-dr-olga-mohan-high-school,644 West 17th Street,Los Angeles,Alliance Dr. Olga Mohan High School,"[('alliance dr olga mohan high', 95.0, 'alliance-dr-olga-mohan-high')]",alliance-dr-olga-mohan-high,,,,95,,,
13,Charter,alliance-gertz-ressler-richard-merkin-6-12-complex,2023 South Union Avenue,Los Angeles,Alliance Gertz-Ressler Richard Merkin 6-12 Complex,"[('alliance gertz ressler richard merkin 6 12 complex', 100.0, 'alliance-gertz-ressler-richard-merkin-6-12-complex')]",alliance-gertz-ressler-richard-merkin-6-12-complex,Los Angeles Unified,Active,2023 South Union Ave.,100,,,
14,Charter,alliance-gertz-ressler-richard-merkin-6-12-complex,2023 South Union Avenue,Los Angeles,Alliance Gertz-Ressler Richard Merkin 6-12 Complex,"[('alliance gertz ressler richard merkin 6 12 complex', 100.0, 'alliance-gertz-ressler-richard-merkin-6-12-complex')]",alliance-gertz-ressler-richard-merkin-6-12-complex,Los Angeles Unified,Active,2023 South Union Ave.,100,,,
15,Charter,alliance-jack-h-skirball-middle-school,603 E. 115th Street,Los Angeles,Alliance Jack H. Skirball Middle School,"[('alliance jack h skirball middle', 95.0, 'alliance-jack-h-skirball-middle')]",alliance-jack-h-skirball-middle,,,,95,,,
16,Charter,alliance-judy-ivie-burton-technology-academy-high-school,10101 S Broadway,Los Angeles,Alliance Judy Ivie Burton Technology Academy High School,"[('alliance judy ivie burton technology academy high', 95.0, 'alliance-judy-ivie-burton-technology-academy-high')]",alliance-judy-ivie-burton-technology-academy-high,,,,95,,,
17,Charter,alliance-kory-hunter-middle-school,5886 Compton Ave,Los Angeles,Alliance Kory Hunter Middle School,"[('alliance kory hunter middle', 95.0, 'alliance-kory-hunter-middle')]",alliance-kory-hunter-middle,,,,95,,,
18,Charter,alliance-leadership-middle-academy,2941 West 70th Street,Los Angeles,Alliance Leadership Middle Academy,[],,,,,,,,
19,Charter,alliance-leichtman-levine-family-foundation-environmental-science-high-school,2930 Fletcher Drive,Los Angeles,Alliance Leichtman-Levine Family Foundation Environmental Science High School,"[('alliance leichtman levine family foundation environmental science high', 95.23809523809523, 'alliance-leichtman-levine-family-foundation-environmental-science-high')]",alliance-leichtman-levine-family-foundation-environmental-science-high,,,,95.23809524,,,
20,Charter,alliance-marc-and-eva-stern-math-and-science-school,5151 State University Drive,Los Angeles,Alliance Marc and Eva Stern Math and Science School,"[('alliance marc   eva stern math and science', 95.0, 'alliance-marc-&-eva-stern-math-and-science')]",alliance-marc-&-eva-stern-math-and-science,,,,95,,,
21,Charter,alliance-margaret-m-bloomfield-technology-academy-high-school,7907 Santa Fe Ave,Huntington Park,Alliance Margaret M. Bloomfield Technology Academy High School,"[('alliance margaret m bloomfield technology academy high', 95.0, 'alliance-margaret-m-bloomfield-technology-academy-high')]",alliance-margaret-m-bloomfield-technology-academy-high,,,,95,,,
22,Charter,alliance-marine---innovation-and-technology-6-12-complex,11933 Allegheny Street,Sun Valley,Alliance Marine - Innovation and Technology 6-12 Complex,"[('alliance marine   innovation and technology 6 12 complex', 100.0, 'alliance-marine---innovation-and-technology-6-12-complex')]",alliance-marine---innovation-and-technology-6-12-complex,Los Angeles Unified,Active,11933 Allegheny St.,100,,,
23,Charter,alliance-marine---innovation-and-technology-6-12-complex,11933 Allegheny Street,Sun Valley,Alliance Marine - Innovation and Technology 6-12 Complex,"[('alliance marine   innovation and technology 6 12 complex', 100.0, 'alliance-marine---innovation-and-technology-6-12-complex')]",alliance-marine---innovation-and-technology-6-12-complex,Los Angeles Unified,Active,11933 Allegheny St.,100,,,
24,Charter,alliance-morgan-mckinzie-high-school,110 S. Townsend Ave.,Los Angeles,Alliance Morgan McKinzie High School,"[('alliance morgan mckinzie high', 95.0, 'alliance-morgan-mckinzie-high')]",alliance-morgan-mckinzie-high,,,,95,,,
25,Charter,alliance-ouchi-o'donovan-6-12-complex,5355 4th Avenue,Los Angeles,Alliance Ouchi-O'Donovan 6-12 Complex,"[('alliance ouchi o donovan 6 12 complex', 100.0, ""alliance-ouchi-o'donovan-6-12-complex"")]",alliance-ouchi-o'donovan-6-12-complex,Los Angeles Unified,Active,5356 South Fifth Ave.,100,,,
26,Charter,alliance-ouchi-o'donovan-6-12-complex,5356 South 5th Avenue,Los Angeles,Alliance Ouchi-O'Donovan 6-12 Complex,"[('alliance ouchi o donovan 6 12 complex', 100.0, ""alliance-ouchi-o'donovan-6-12-complex"")]",alliance-ouchi-o'donovan-6-12-complex,Los Angeles Unified,Active,5356 South Fifth Ave.,100,,,
27,Charter,alliance-patti-&-peter-neuwirth-leadership-academy,4610 S. Main Street,Los Angeles,Alliance Patti & Peter Neuwirth Leadership Academy,"[('alliance patti and peter neuwirth leadership academy', 96.07843137254902, 'alliance-patti-and-peter-neuwirth-leadership-academy')]",alliance-patti-and-peter-neuwirth-leadership-academy,,,,96.07843137,,,
28,Charter,alliance-piera-barbaglia-shaheen-health-services-academy,New: 8515 Kansas Avenue,Los Angeles,Alliance Piera Barbaglia Shaheen Health Services Academy,"[('alliance piera barbaglia shaheen health services academy', 100.0, 'alliance-piera-barbaglia-shaheen-health-services-academy')]",alliance-piera-barbaglia-shaheen-health-services-academy,Los Angeles Unified,Active,8515 Kansas Ave.,100,,,
29,Charter,alliance-renee-&-meyer-luskin-academy-high-school,2941 West 70th Street,Los Angeles,Alliance Renee & Meyer Luskin Academy High School,"[('alliance renee and meyer luskin academy high', 90.47619047619048, 'alliance-renee-and-meyer-luskin-academy-high')]",alliance-renee-and-meyer-luskin-academy-high,,,,90.47619048,,,
30,Charter,alliance-susan-and-eric-smidt-technology-high-school,211 South Avenue 20,Los Angeles,Alliance Susan and Eric Smidt Technology High School,"[('alliance susan and eric smidt technology high', 95.0, 'alliance-susan-and-eric-smidt-technology-high')]",alliance-susan-and-eric-smidt-technology-high,,,,95,,,
31,Charter,alliance-ted-k-tajima-high-school,"1552 Rockwood St, Los Angeles",Los Angeles,Alliance Ted K. Tajima High School,"[('alliance ted k tajima high', 95.0, 'alliance-ted-k-tajima-high')]",alliance-ted-k-tajima-high,,,,95,,,
32,Charter,alliance-tennenbaum-family-technology-high-school,2050 N. San Fernando Road,Los Angeles,Alliance Tennenbaum Family Technology High School,"[('alliance tennenbaum family technology high', 95.0, 'alliance-tennenbaum-family-technology-high')]",alliance-tennenbaum-family-technology-high,,,,95,,,
33,Charter,animo-city-of-champions,9330 S. 8th Ave.,Los Angeles,Animo City of Champions,"[('animo city of champions charter high', 90.0, 'animo-city-of-champions-charter-high')]",animo-city-of-champions-charter-high,,,,90,,,
34,Charter,animo-compton-charter-school,13305 S. San Pedro St.,Los Angeles,Animo Compton Charter School,"[('animo compton charter', 95.0, 'animo-compton-charter')]",animo-compton-charter,,,,95,,,
