id,index,district_x,name_x,address,phone,original_name_x,Match,rowid,school,district_y,street,original_name_y,simple_name,district,participating,duped,score
0,0,Centinela Valley,4859-hawthorne-high-,4859 West El Segundo Blvd.,(310) 263-4400,Hawthorne High,"[('4859 hawthorne high', 100.0, '4859-hawthorne-high-')]",306,Hawthorne High (Centinela Valley Union High),Centinela Valley Union High,4859 West El Segundo Blvd.,Hawthorne High (Centinela Valley Union High),4859-hawthorne-high-,,True,False, 100.0
1,1,Centinela Valley,14901-lawndale-high-,14901 S. Inglewood Avenue,(310) 263-3100,Lawndale High,"[('14901 lawndale high', 100.0, '14901-lawndale-high-')]",307,Lawndale High (Centinela Valley Union High),Centinela Valley Union High,14901 South Inglewood Ave.,Lawndale High (Centinela Valley Union High),14901-lawndale-high-,,True,False, 100.0
2,2,Centinela Valley,4118-leuzinger-high-,4118 West Rosecrans Ave.,(310) 263-2200,Leuzinger High,"[('4118 leuzinger high', 100.0, '4118-leuzinger-high-')]",308,Leuzinger High (Centinela Valley Union High),Centinela Valley Union High,4118 West Rosecrans Ave.,Leuzinger High (Centinela Valley Union High),4118-leuzinger-high-,,True,False, 100.0
3,3,Centinela Valley,4951-r-k-lloyde-high-,4951 Marine Ave.,(310) 263-3264,R. K. Lloyde High,"[('4951 r k lloyde high', 100.0, '4951-r-k-lloyde-high-')]",310,R. K. Lloyde High (Centinela Valley Union High),Centinela Valley Union High,4951 Marine Ave.,R. K. Lloyde High (Centinela Valley Union High),4951-r-k-lloyde-high-,,True,False, 100.0
4,4,Charter,,"461 9th Street, San Pedro",(310) 221-0430,Alliance Alice M. Baxter College-Ready High School,[],0,Alliance Alice M. Baxter College-Ready High School (Charter),,,,,Charter,True,False,
5,5,Charter,10720-alliance-cindy-and-bill-simon-technology-academy-high-,10720 Wilmington Avenue,(323) 744-2122,Alliance Cindy and Bill Simon Technology High School,"[('10720 alliance cindy and bill simon technology academy high', 88.89908256880734, '10720-alliance-cindy-and-bill-simon-technology-academy-high-')]",91,Alliance Cindy and Bill Simon Technology Academy High (Alliance College Ready Public Schools District),Alliance College Ready Public Schools District,10720 South Wilmington Ave.,Alliance Cindy and Bill Simon Technology Academy High (Alliance College Ready Public Schools District),10720-alliance-cindy-and-bill-simon-technology-academy-high-,,True,False, 88.89908256880734
6,6,Charter,131-alliance-college-ready-middle-academy-12-,131 E. 50th Street,(323) 238-7270,Alliance College-Ready Middle Academy 12,"[('131 alliance college ready middle academy 12', 100.0, '131-alliance-college-ready-middle-academy-12-')]",92,Alliance College-Ready Middle Academy 12 (Alliance College Ready Public Schools District),Alliance College Ready Public Schools District,131 East 50th St.,Alliance College-Ready Middle Academy 12 (Alliance College Ready Public Schools District),131-alliance-college-ready-middle-academy-12-,,True,False, 100.0
7,7,Charter,9719-alliance-college-ready-middle-academy-4-,9719 S Main Street,(323) 451-3009,Alliance College-Ready Middle Academy 4,"[('9719 alliance college ready middle academy 4', 100.0, '9719-alliance-college-ready-middle-academy-4-')]",93,Alliance College-Ready Middle Academy 4 (Alliance College Ready Public Schools District),Alliance College Ready Public Schools District,9719 South Main St.,Alliance College-Ready Middle Academy 4 (Alliance College Ready Public Schools District),9719-alliance-college-ready-middle-academy-4-,,True,False, 100.0
8,8,Charter,113-alliance-college-ready-middle-academy-8-,211 South Avenue 20,(323) 352-8034,Alliance College-Ready Middle Academy 5,"[('113 alliance college ready middle academy 8', 95.34883720930233, '113-alliance-college-ready-middle-academy-8-')]",94,Alliance College-Ready Middle Academy 8 (Alliance College Ready Public Schools District),Alliance College Ready Public Schools District,113 South Rowan Ave.,Alliance College-Ready Middle Academy 8 (Alliance College Ready Public Schools District),113-alliance-college-ready-middle-academy-8-,,True,False, 95.34883720930233
9,9,Charter,113-alliance-college-ready-middle-academy-8-,113 S. Rowan Avenue,(323) 269-2156,Alliance College-Ready Middle Academy 8,"[('113 alliance college ready middle academy 8', 100.0, '113-alliance-college-ready-middle-academy-8-')]",94,Alliance College-Ready Middle Academy 8 (Alliance College Ready Public Schools District),Alliance College Ready Public Schools District,113 South Rowan Ave.,Alliance College-Ready Middle Academy 8 (Alliance College Ready Public Schools District),113-alliance-college-ready-middle-academy-8-,,True,False, 100.0
