,district_x,name_x,address,city_x,phone,email,original_name_x,Match,rowid,school,district_y,street,city_y,state,zip,original_name_y,name_y,simple_name,district,participating,duped,score
0,Centinela Valley,4859-west-el-segundo-blvd-hawthorne-high-(centinela-valley-union-high)--centinela-valley-union-high,4859 West El Segundo Blvd.,Hawthorne,(310) 263-4400,No Data,Hawthorne High,"[('4859 west el segundo blvd hawthorne high  centinela valley union high   centinela valley union high', 88.42105263157895, '4859-west-el-segundo-blvd-hawthorne-high-(centinela-valley-union-high)--centinela-valley-union-high')]",306,Hawthorne High (Centinela Valley Union High),Centinela Valley Union High,4859 West El Segundo Blvd.,Hawthorne,CA,90250-4204,Hawthorne High (Centinela Valley Union High),Hawthorne High ,4859-west-el-segundo-blvd-hawthorne-high-(centinela-valley-union-high)--centinela-valley-union-high,,True,False, 88.42105263157895
1,Centinela Valley,,14901 S. Inglewood Avenue,Lawndale,(310) 263-3100,No Data,Lawndale High,[],0,Lawndale High (Centinela Valley),,,,,,,,,Centinela Valley,True,False,
2,Centinela Valley,4118-west-rosecrans-ave-leuzinger-high-(centinela-valley-union-high)--centinela-valley-union-high,4118 West Rosecrans Ave.,Lawndale,(310) 263-2200,No Data,Leuzinger High,"[('4118 west rosecrans ave leuzinger high  centinela valley union high   centinela valley union high', 88.36363636363637, '4118-west-rosecrans-ave-leuzinger-high-(centinela-valley-union-high)--centinela-valley-union-high')]",308,Leuzinger High (Centinela Valley Union High),Centinela Valley Union High,4118 West Rosecrans Ave.,Lawndale,CA,90260-1601,Leuzinger High (Centinela Valley Union High),Leuzinger High ,4118-west-rosecrans-ave-leuzinger-high-(centinela-valley-union-high)--centinela-valley-union-high,,True,False, 88.36363636363637
3,Centinela Valley,4951-marine-ave-r-k-lloyde-high-(centinela-valley-union-high)--centinela-valley-union-high,4951 Marine Ave.,Lawndale,(310) 263-3264,No Data,R. K. Lloyde High,"[('4951 marine ave r k lloyde high  centinela valley union high   centinela valley union high', 88.125, '4951-marine-ave-r-k-lloyde-high-(centinela-valley-union-high)--centinela-valley-union-high')]",310,R. K. Lloyde High (Centinela Valley Union High),Centinela Valley Union High,4951 Marine Ave.,Lawndale,CA,90260-1251,R. K. Lloyde High (Centinela Valley Union High),R. K. Lloyde High ,4951-marine-ave-r-k-lloyde-high-(centinela-valley-union-high)--centinela-valley-union-high,,True,False, 88.125
4,Charter,,"461 9th Street, San Pedro",San Pedro,(310) 221-0430,,Alliance Alice M. Baxter College-Ready High School,[],0,Alliance Alice M. Baxter College-Ready High School (Charter),,,,,,,,,Charter,True,False,
5,Charter,,10720 Wilmington Avenue,Los Angeles,(323) 744-2122,No Data,Alliance Cindy and Bill Simon Technology High School,[],0,Alliance Cindy and Bill Simon Technology High School (Charter),,,,,,,,,Charter,True,False,
6,Charter,,131 E. 50th Street,Los Angeles,(323) 238-7270,No Data,Alliance College-Ready Middle Academy 12,[],0,Alliance College-Ready Middle Academy 12 (Charter),,,,,,,,,Charter,True,False,
7,Charter,,9719 S Main Street,Los Angeles,(323) 451-3009,No Data,Alliance College-Ready Middle Academy 4,[],0,Alliance College-Ready Middle Academy 4 (Charter),,,,,,,,,Charter,True,False,
8,Charter,,211 South Avenue 20,Los Angeles,(323) 352-8034,No Data,Alliance College-Ready Middle Academy 5,[],0,Alliance College-Ready Middle Academy 5 (Charter),,,,,,,,,Charter,True,False,
9,Charter,,113 S. Rowan Avenue,Los Angeles,(323) 269-2156,No Data,Alliance College-Ready Middle Academy 8,[],0,Alliance College-Ready Middle Academy 8 (Charter),,,,,,,,,Charter,True,False,
10,Charter,,2071 Saturn Avenue,Huntington Park,(323) 923-1588,No Data,Alliance Collins Family College-Ready High School,[],0,Alliance Collins Family College-Ready High School (Charter),,,,,,,,,Charter,True,False,
11,Charter,,644 West 17th Street,Los Angeles,(213) 342-2870,No Data,Alliance Dr. Olga Mohan High School,[],0,Alliance Dr. Olga Mohan High School (Charter),,,,,,,,,Charter,True,False,
12,Charter,,2023 South Union Avenue,Los Angeles,(213) 745-8141,No Data,Alliance Gertz-Ressler Richard Merkin 6-12 Complex,[],0,Alliance Gertz-Ressler Richard Merkin 6-12 Complex (Charter),,,,,,,,,Charter,True,True,
13,Charter,,2023 South Union Avenue,Los Angeles,(213) 748-0141,No Data,Alliance Gertz-Ressler Richard Merkin 6-12 Complex,[],0,Alliance Gertz-Ressler Richard Merkin 6-12 Complex (Charter),,,,,,,,,Charter,True,True,
14,Charter,,603 E. 115th Street,Los Angeles,(323) 905-1377,No Data,Alliance Jack H. Skirball Middle School,[],0,Alliance Jack H. Skirball Middle School (Charter),,,,,,,,,Charter,True,False,
15,Charter,,10101 S Broadway,Los Angeles,(323) 920-6125,No Data,Alliance Judy Ivie Burton Technology Academy High School,[],0,Alliance Judy Ivie Burton Technology Academy High School (Charter),,,,,,,,,Charter,True,False,
16,Charter,,5886 Compton Ave,Los Angeles,(323) 484-0450,No Data,Alliance Kory Hunter Middle School,[],0,Alliance Kory Hunter Middle School (Charter),,,,,,,,,Charter,True,False,
17,Charter,,2941 West 70th Street,Los Angeles,(323) 920-4388,,Alliance Leadership Middle Academy,[],0,Alliance Leadership Middle Academy (Charter),,,,,,,,,Charter,True,False,
18,Charter,,2930 Fletcher Drive,Los Angeles,(323) 739-0560,No Data,Alliance Leichtman-Levine Family Foundation Environmental Science High School,[],0,Alliance Leichtman-Levine Family Foundation Environmental Science High School (Charter),,,,,,,,,Charter,True,False,
19,Charter,,5151 State University Drive,Los Angeles,(323) 987-2144,No Data,Alliance Marc and Eva Stern Math and Science School,[],0,Alliance Marc and Eva Stern Math and Science School (Charter),,,,,,,,,Charter,True,False,
20,Charter,,7907 Santa Fe Ave,Huntington Park,(323) 537-2060,No Data,Alliance Margaret M. Bloomfield Technology Academy High School,[],0,Alliance Margaret M. Bloomfield Technology Academy High School (Charter),,,,,,,,,Charter,True,False,
21,Charter,,11933 Allegheny Street,Sun Valley,(747) 223-2649,No Data,Alliance Marine - Innovation and Technology 6-12 Complex,[],0,Alliance Marine - Innovation and Technology 6-12 Complex (Charter),,,,,,,,,Charter,True,True,
22,Charter,,11933 Allegheny Street,Sun Valley,(747) 223-2766,No Data,Alliance Marine - Innovation and Technology 6-12 Complex,[],0,Alliance Marine - Innovation and Technology 6-12 Complex (Charter),,,,,,,,,Charter,True,True,
23,Charter,,110 S. Townsend Ave.,Los Angeles,(323) 526-8198,No Data,Alliance Morgan McKinzie High School,[],0,Alliance Morgan McKinzie High School (Charter),,,,,,,,,Charter,True,False,
24,Charter,,5355 4th Avenue,Los Angeles,(323) 294-3172,,Alliance Ouchi-O'Donovan 6-12 Complex,[],0,Alliance Ouchi-O'Donovan 6-12 Complex (Charter),,,,,,,,,Charter,True,True,
25,Charter,,5356 South 5th Avenue,Los Angeles,(323) 596-2290,No Data,Alliance Ouchi-O'Donovan 6-12 Complex,[],0,Alliance Ouchi-O'Donovan 6-12 Complex (Charter),,,,,,,,,Charter,True,True,
26,Charter,,4610 S. Main Street,Los Angeles,(213) 342-2874,,Alliance Patti & Peter Neuwirth Leadership Academy,[],0,Alliance Patti & Peter Neuwirth Leadership Academy (Charter),,,,,,,,,Charter,True,False,
27,Charter,,New: 8515 Kansas Avenue,Los Angeles,(323) 972-9010,No Data,Alliance Piera Barbaglia Shaheen Health Services Academy,[],0,Alliance Piera Barbaglia Shaheen Health Services Academy (Charter),,,,,,,,,Charter,True,False,
28,Charter,,2941 West 70th Street,Los Angeles,(323) 905-1210,No Data,Alliance Renee & Meyer Luskin Academy High School,[],0,Alliance Renee & Meyer Luskin Academy High School (Charter),,,,,,,,,Charter,True,False,
29,Charter,,211 South Avenue 20,Los Angeles,(323) 352-3206,No Data,Alliance Susan and Eric Smidt Technology High School,[],0,Alliance Susan and Eric Smidt Technology High School (Charter),,,,,,,,,Charter,True,False,
30,Charter,,"1552 Rockwood St, Los Angeles",Los Angeles,(213) 241-8533,No Data,Alliance Ted K. Tajima High School,[],0,Alliance Ted K. Tajima High School (Charter),,,,,,,,,Charter,True,False,
31,Charter,,2050 N. San Fernando Road,Los Angeles,(323) 276-5545,No Data,Alliance Tennenbaum Family Technology High School,[],0,Alliance Tennenbaum Family Technology High School (Charter),,,,,,,,,Charter,True,False,
32,Charter,,9330 S. 8th Ave.,Los Angeles,(323) 565-1600,,Animo City of Champions,[],0,Animo City of Champions (Charter),,,,,,,,,Charter,True,False,
33,Charter,,13305 S. San Pedro St.,Los Angeles,(323) 565-4415,,Animo Compton Charter School,[],0,Animo Compton Charter School (Charter),,,,,,,,,Charter,True,False,
34,Charter,4360-dozier-st-animo-ellen-ochoa-charter-middle-(green-dot-charter-schools-district)--green-dot-charter-schools-district,4360 Dozier St.,Los Angeles,(323) 565-3245,aeo.cde@greendot.org,Animo Ellen Ochoa,"[('4360 dozier st animo ellen ochoa charter middle  green dot charter schools district   green dot charter schools district', 90.0, '4360-dozier-st-animo-ellen-ochoa-charter-middle-(green-dot-charter-schools-district)--green-dot-charter-schools-district')]",681,Animo Ellen Ochoa Charter Middle (Green Dot Charter Schools District),Green Dot Charter Schools District,4360 Dozier St.,Los Angeles,CA,90022-1840,Animo Ellen Ochoa Charter Middle (Green Dot Charter Schools District),Animo Ellen Ochoa Charter Middle ,4360-dozier-st-animo-ellen-ochoa-charter-middle-(green-dot-charter-schools-district)--green-dot-charter-schools-district,,True,False, 90.0
35,Charter,,155 W. 69th St.,Los Angeles,(323) 565-3280,,Animo Florence Firestone,[],0,Animo Florence Firestone (Charter),,,,,,,,,Charter,True,False,
36,Charter,,3425 Manchester Blvd.,Inglewood,(323) 565-2100,,Animo Inglewood,[],0,Animo Inglewood (Charter),,,,,,,,,Charter,True,False,
37,Charter,,3500 S. Hill St.,Los Angeles,(323) 846-5800,,Animo Jackie Robinson,[],0,Animo Jackie Robinson (Charter),,,,,,,,,Charter,True,False,
38,Charter,,810-820 E. 111th Place,Los Angeles,(323) 568-8613,,Animo James B. Taylor,[],0,Animo James B. Taylor (Charter),,,,,,,,,Charter,True,False,
39,Charter,,1655 E. 27th Street,Los Angeles,(323) 232-1857,,Animo Jefferson,[],0,Animo Jefferson (Charter),,,,,,,,,Charter,True,False,
40,Charter,,11044 S. Freeman Ave.,Los Angeles,(310) 216-3277,,Animo Leadership,[],0,Animo Leadership (Charter),,,,,,,,,Charter,True,False,
41,Charter,,12226 S Western Ave.,Los Angeles,(323) 600-6099,lgc.cde@greendot.org,Animo Legacy,[],0,Animo Legacy (Charter),,,,,,,,,Charter,True,False,
42,Charter,,325 E 111th St.,Los Angeles,(323) 420-2170,,Animo Locke,[],0,Animo Locke (Charter),,,,,,,,,Charter,True,False,
43,Charter,,12700 Avalon Blvd.,Los Angeles,(323) 565-4450,mae.cde@greendot.org,Animo Mae Jemison,[],0,Animo Mae Jemison (Charter),,,,,,,,,Charter,True,False,
44,Charter,,1114 S. Lorena Street,Los Angeles,(323) 780-1259,,Animo Oscar De La Hoya,[],0,Animo Oscar De La Hoya (Charter),,,,,,,,,Charter,True,False,
45,Charter,,8205 Beach Street,Los Angeles,(323) 585-3312,,Animo Pat Brown,[],0,Animo Pat Brown (Charter),,,,,,,,,Charter,True,False,
46,Charter,,1655 E. 27th Street,Los Angeles,(323) 232-9436,,Animo Ralph Bunche,[],0,Animo Ralph Bunche (Charter),,,,,,,,,Charter,True,False,
47,Charter,11130-western-ave-animo-south-los-angeles-charter-(green-dot-charter-schools-district)--green-dot-charter-schools-district,11130 Western Avenue,Los Angeles,(323) 779-0544,sla.cde@greendot.org,Animo South Los Angeles,"[('11130 western ave animo south los angeles charter  green dot charter schools district   green dot charter schools district', 87.32673267326733, '11130-western-ave-animo-south-los-angeles-charter-(green-dot-charter-schools-district)--green-dot-charter-schools-district')]",690,Animo South Los Angeles Charter (Green Dot Charter Schools District),Green Dot Charter Schools District,11130 Western Ave.,Los Angeles,CA,90047-4845,Animo South Los Angeles Charter (Green Dot Charter Schools District),Animo South Los Angeles Charter ,11130-western-ave-animo-south-los-angeles-charter-(green-dot-charter-schools-district)--green-dot-charter-schools-district,,True,False, 87.32673267326733
48,Charter,,820 Broadway Street,Venice,(310) 392-8751,,Animo Venice,[],0,Animo Venice (Charter),,,,,,,,,Charter,True,False,
49,Charter,,12628 Avalon Blvd.,Los Angeles,(323) 756-3930,,Animo Watts,[],0,Animo Watts (Charter),,,,,,,,,Charter,True,False,
50,Charter,5456-mcconnell-ave-animo-westside-charter-middle-(green-dot-charter-schools-district)--green-dot-charter-schools-district,5456 McConnell Ave.,Los Angeles,(323) 565-3251,Information Not Available,Animo Westside,"[('5456 mcconnell ave animo westside charter middle  green dot charter schools district   green dot charter schools district', 90.0, '5456-mcconnell-ave-animo-westside-charter-middle-(green-dot-charter-schools-district)--green-dot-charter-schools-district')]",693,Animo Westside Charter Middle (Green Dot Charter Schools District),Green Dot Charter Schools District,5456 McConnell Ave.,Los Angeles,CA,90066-2056,Animo Westside Charter Middle (Green Dot Charter Schools District),Animo Westside Charter Middle ,5456-mcconnell-ave-animo-westside-charter-middle-(green-dot-charter-schools-district)--green-dot-charter-schools-district,,True,False, 90.0
51,Charter,,"1309 N Wilton Place, 3rd Floor",Los Angeles,(323) 817-6550,,APEX Academy,[],0,APEX Academy (Charter),,,,,,,,,Charter,True,False,
52,Charter,,745 S. Kern Ave,Los Angeles,(323) 266-4371,,Arts in Action Charter (East LA),[],0,Arts in Action Charter (East LA) (Charter),,,,,,,,,Charter,True,False,
53,Charter,,6100 Carmelita Avenue,Huntington Park,(323) 585-1153,,Aspire Antonio Maria Lugo Academy,[],0,Aspire Antonio Maria Lugo Academy (Charter),,,,,,,,,Charter,True,False,
54,Charter,,2079 Saturn Ave,Huntington Park,(323) 826-9616,data-contact@aspirepublicschools.org,Aspire Centennial College Preparatory Academy,[],0,Aspire Centennial College Preparatory Academy (Charter),,,,,,,,,Charter,True,False,
55,Charter,8929-kauffman-ave-aspire-firestone-academy-charter-(aspire-public-schools-district)--aspire-public-schools-district,8929 Kauffman Ave,South Gate,(323) 249-5740,data-contact@aspirepublicschools.org,Aspire Firestone Academy,"[('8929 kauffman ave aspire firestone academy charter  aspire public schools district   aspire public schools district', 90.0, '8929-kauffman-ave-aspire-firestone-academy-charter-(aspire-public-schools-district)--aspire-public-schools-district')]",140,Aspire Firestone Academy Charter (Aspire Public Schools District),Aspire Public Schools District,8929 Kauffman Ave.,South Gate,CA,90280-3422,Aspire Firestone Academy Charter (Aspire Public Schools District),Aspire Firestone Academy Charter ,8929-kauffman-ave-aspire-firestone-academy-charter-(aspire-public-schools-district)--aspire-public-schools-district,,True,False, 90.0
56,Charter,,8929 Kauffman Ave,South Gate,(323) 249-5740,data-contact@aspirepublicschools.org,Aspire Gateway Charter Academy,[],0,Aspire Gateway Charter Academy (Charter),,,,,,,,,Charter,True,False,
57,Charter,,123 W 59th St,Los Angeles,(323) 515-0815,data-contact@aspirepublicschools.org,Aspire Inskeep Academy Charter,[],0,Aspire Inskeep Academy Charter (Charter),,,,,,,,,Charter,True,False,
58,Charter,,6724 S Alameda St,Huntington Park,(323) 583-5421,data-contact@aspirepublicschools.org,Aspire Junior Collegiate Academy,[],0,Aspire Junior Collegiate Academy (Charter),,,,,,,,,Charter,True,False,
59,Charter,,2540 East 58th Street,Huntington Park,(323) 277-2901,,Aspire Ollin University Preparatory Academy,[],0,Aspire Ollin University Preparatory Academy (Charter),,,,,,,,,Charter,True,False,
60,Charter,,2565 58th St,Huntington Park,(323) 589-2800,data-contact@aspirepublicschools.org,Aspire Pacific Academy,[],0,Aspire Pacific Academy (Charter),,,,,,,,,Charter,True,False,
61,Charter,,123 W 59th St,Los Angeles,(323) 240-4950,,Aspire Slauson Academy Elementary,[],0,Aspire Slauson Academy Elementary (Charter),,,,,,,,,Charter,True,False,
62,Charter,,123 W 59th St,Los Angeles,(323) 515-0815,,Aspire Juanita Tate Academy Elementary,[],0,Aspire Juanita Tate Academy Elementary (Charter),,,,,,,,,Charter,True,False,
63,Charter,,6720 S Alameda St,Huntington Park,(323) 583-5421,,Aspire Titan Academy,[],0,Aspire Titan Academy (Charter),,,,,,,,,Charter,True,False,
64,Charter,,17000 Haynes Street,Lake Balboa,(818) 758-5265,No Data,Birmingham Community High School,[],0,Birmingham Community High School (Charter),,,,,,,,,Charter,True,False,
65,Charter,,1401 Highland Avenue,Duarte,(657) 321.4000 ext. 60005,student.services@sgv.csarts.net,California School of the Arts - San Gabriel Valley,[],0,California School of the Arts - San Gabriel Valley (Charter),,,,,,,,,Charter,True,False,
66,Charter,,3500 West Temple Street,Los Angeles,(213) 736-5566,,Camino Nuevo Dalzell Lance High School,[],0,Camino Nuevo Dalzell Lance High School (Charter),,,,,,,,,Charter,True,False,
67,Charter,,6842 Van Nuys Blvd (5th Floor),Van Nuys,(818) 994-7614 x503,,CHAMPS Charter High School of the Arts,[],0,CHAMPS Charter High School of the Arts (Charter),,,,,,,,,Charter,True,False,
68,Charter,,340 Nieto Avenue,Long Beach,(562) 577-0887,,Conservation Corps of Long Beach,[],0,Conservation Corps of Long Beach (Charter),,,,,,,,,Charter,True,False,
69,Charter,,201 N. Douglas St.,El Segundo,(562) 452-0297,,DaVinci RISE High School,[],0,DaVinci RISE High School (Charter),,,,,,,,,Charter,True,False,
70,Charter,,319 N Humphreys Ave,Los Angeles,323-459-0325,ralanis@ednovate.org,Ednovate- Esperanza College Prep,[],0,Ednovate- Esperanza College Prep (Charter),,,,,,,,,Charter,True,False,
71,Charter,,3825 N Mission Rd,Los Angeles,323-285-1441,,Ednovate-East College Prep,[],0,Ednovate-East College Prep (Charter),,,,,,,,,Charter,True,False,
72,Charter,3939-s-vermont-ave-ednovate---usc-hybrid-high-college-prep-(ednovate-district)--ednovate-district,3939 S Vermont Ave,Los Angeles,213-929-1046,No Data,Ednovate - USC Hybrid High College Prep,"[('3939 s vermont ave ednovate   usc hybrid high college prep  ednovate district   ednovate district', 88.66666666666666, '3939-s-vermont-ave-ednovate---usc-hybrid-high-college-prep-(ednovate-district)--ednovate-district')]",528,Ednovate - USC Hybrid High College Prep (Ednovate District),Ednovate District,3939 S. Vermont Ave.,Los Angeles,CA,90071-1936,Ednovate - USC Hybrid High College Prep (Ednovate District),Ednovate - USC Hybrid High College Prep ,3939-s-vermont-ave-ednovate---usc-hybrid-high-college-prep-(ednovate-district)--ednovate-district,,True,False, 88.66666666666666
73,Charter,,350 S Figueroa St Ste 100,Los Angeles,323-446-2570,jcho@ednovate.org,Ednovate-Brio College Prep,[],0,Ednovate-Brio College Prep (Charter),,,,,,,,,Charter,True,False,
74,Charter,,700 Wilshire Bl Ste 400,Los Angeles,323-446-2570,No Data,Ednovate - South LA College Prep,[],0,Ednovate - South LA College Prep (Charter),,,,,,,,,Charter,True,False,
75,Charter,,5440 Valley Circle Blvd.,Woodland Hills,(818) 595-7500 ext. 7567,No Data,El Camino Real Charter High School,[],0,El Camino Real Charter High School (Charter),,,,,,,,,Charter,True,False,
76,Charter,,2818 Manhattan Beach Blvd,Gardena,(424) 295-9898,,Environmental Charter High School  – Gardena (ECHS-G),[],0,Environmental Charter High School  – Gardena (ECHS-G) (Charter),,,,,,,,,Charter,True,False,
77,Charter,,16315 Grevillea Avenue,Lawndale,(310) 214-3400,,Environmental Charter High School – Lawndale (ECHS-L),[],0,Environmental Charter High School – Lawndale (ECHS-L) (Charter),,,,,,,,,Charter,True,False,
78,Charter,,812 W. 165th Place,Gardena,(310) 425-1605,,Environmental Charter Middle School – Gardena (ECMS-G),[],0,Environmental Charter Middle School – Gardena (ECMS-G) (Charter),,,,,,,,,Charter,True,False,
79,Charter,,3600 W. Imperial Highway,Inglewood,(310) 793-0157,,Environmental Charter Middle School – Inglewood (ECMS-I),[],0,Environmental Charter Middle School – Inglewood (ECMS-I) (Charter),,,,,,,,,Charter,True,False,
80,Charter,,11435 Logan Street,Los Angeles,(213) 413-5741,,Gabriella Charter Schools #1,[],0,Gabriella Charter Schools #1 (Charter),,,,,,,,,Charter,True,False,
81,Charter,,3736 Trinity Street,Los Angeles,(213) 413-5741,,Gabriella Charter Schools #2,[],0,Gabriella Charter Schools #2 (Charter),,,,,,,,,Charter,True,False,
82,Charter,,434 S. Grevillea Ave.,Inglewood,(323) 298-6420,No Data,ICEF Inglewood Elementary Charter Academy,[],0,ICEF Inglewood Elementary Charter Academy (Charter),,,,,,,,,Charter,True,False,
83,Charter,,5029 S. Vermont Ave,Los Angeles,(323) 290-6997,,ICEF Innovation Los Angeles Elementary,[],0,ICEF Innovation Los Angeles Elementary (Charter),,,,,,,,,Charter,True,False,
84,Charter,,5311 S. Crenshaw Blvd.,Los Angeles,(323) 290-6950/60,No Data,ICEF View Park Preparatory Elementary School,[],0,ICEF View Park Preparatory Elementary School (Charter),,,,,,,,,Charter,True,False,
85,Charter,,5701 S. Crenshaw Blvd,Los Angeles,(323) 290-6975,,ICEF View Park Preparatory High School,[],0,ICEF View Park Preparatory High School (Charter),,,,,,,,,Charter,True,False,
86,Charter,,5311 S. Crenshaw Blvd.,Los Angeles,(323) 290-6970,No Data,ICEF View Park Preparatory Middle School,[],0,ICEF View Park Preparatory Middle School (Charter),,,,,,,,,Charter,True,False,
87,Charter,,4471 Inglewood Blvd,Los Angeles,(323) 298-6400,No Data,ICEF Vista Elementary Charter Academy,[],0,ICEF Vista Elementary Charter Academy (Charter),,,,,,,,,Charter,True,False,
88,Charter,,4471 Inglewood Blvd,Los Angeles,(323) 298-6405,No Data,ICEF Vista Middle Charter Academy,[],0,ICEF Vista Middle Charter Academy (Charter),,,,,,,,,Charter,True,False,
89,Charter,,1637 Long Beach Blvd.,Long Beach,(714) 697-8068,info@academylongbeach.org,Intellectual Virtues Academy of Long Beach,[],0,Intellectual Virtues Academy of Long Beach (Charter),,,,,,,,,Charter,True,False,
90,Charter,,"444 N. Larchmont Boulevard, #207",Los Angeles,(323) 380-7893,,Larchmont Charter School,[],0,Larchmont Charter School (Charter),,,,,,,,,Charter,True,False,
