id,index,district_x,name_x,address_x,phone,original_name_x,devons_key,participating,Match,rowid,school,district_y,address_y,original_name_y,name_y,tap_key,simple_name,district,duped,score
0,0,Centinela Valley,4859-west-el-segundo-blvd-hawthorne-high--,4859 West El Segundo Blvd.,(310) 263-4400,Hawthorne High,4859-west-el-segundo-blvd-hawthorne-high,True,"[('4859 west el segundo blvd hawthorne high', 100.0, '4859-west-el-segundo-blvd-hawthorne-high--')]",306,Hawthorne High (Centinela Valley Union High),Centinela Valley Union High,4859 West El Segundo Blvd.,Hawthorne High (Centinela Valley Union High),Hawthorne High ,4859-west-el-segundo-blvd-hawthorne-high--,4859-west-el-segundo-blvd-hawthorne-high--,,False, 100.0
1,1,Centinela Valley,14901-south-inglewood-ave-lawndale-high--,14901 S. Inglewood Avenue,(310) 263-3100,Lawndale High,14901-s-inglewood-avenue-lawndale-high,True,"[('14901 south inglewood ave lawndale high', 90.9090909090909, '14901-south-inglewood-ave-lawndale-high--')]",307,Lawndale High (Centinela Valley Union High),Centinela Valley Union High,14901 South Inglewood Ave.,Lawndale High (Centinela Valley Union High),Lawndale High ,14901-south-inglewood-ave-lawndale-high--,14901-south-inglewood-ave-lawndale-high--,,False, 90.9090909090909
2,2,Centinela Valley,4118-west-rosecrans-ave-leuzinger-high--,4118 West Rosecrans Ave.,(310) 263-2200,Leuzinger High,4118-west-rosecrans-ave-leuzinger-high,True,"[('4118 west rosecrans ave leuzinger high', 100.0, '4118-west-rosecrans-ave-leuzinger-high--')]",308,Leuzinger High (Centinela Valley Union High),Centinela Valley Union High,4118 West Rosecrans Ave.,Leuzinger High (Centinela Valley Union High),Leuzinger High ,4118-west-rosecrans-ave-leuzinger-high--,4118-west-rosecrans-ave-leuzinger-high--,,False, 100.0
3,3,Centinela Valley,4951-marine-ave-r-k-lloyde-high--,4951 Marine Ave.,(310) 263-3264,R. K. Lloyde High,4951-marine-ave-r-k-lloyde-high,True,"[('4951 marine ave r k lloyde high', 100.0, '4951-marine-ave-r-k-lloyde-high--')]",310,R. K. Lloyde High (Centinela Valley Union High),Centinela Valley Union High,4951 Marine Ave.,R. K. Lloyde High (Centinela Valley Union High),R. K. Lloyde High ,4951-marine-ave-r-k-lloyde-high--,4951-marine-ave-r-k-lloyde-high--,,False, 100.0
4,4,Charter,,"461 9th Street, San Pedro",(310) 221-0430,Alliance Alice M. Baxter College-Ready High School,"461-9th-street,-san-pedro-alliance-alice-m-baxter-college-ready-high-school",True,[],0,Alliance Alice M. Baxter College-Ready High School (Charter),,,,,,,Charter,False,
5,5,Charter,,10720 Wilmington Avenue,(323) 744-2122,Alliance Cindy and Bill Simon Technology High School,10720-wilmington-avenue-alliance-cindy-and-bill-simon-technology-high-school,True,[],0,Alliance Cindy and Bill Simon Technology High School (Charter),,,,,,,Charter,False,
6,6,Charter,,2941 West 70th Street,(323) 920-4388,Alliance Leadership Middle Academy,2941-west-70th-street-alliance-leadership-middle-academy,True,[],0,Alliance Leadership Middle Academy (Charter),,,,,,,Charter,False,
7,7,Charter,,9330 S. 8th Ave.,(323) 565-1600,Animo City of Champions,9330-s-8th-ave-animo-city-of-champions,True,[],0,Animo City of Champions (Charter),,,,,,,Charter,False,
8,8,Charter,,155 W. 69th St.,(323) 565-3280,Animo Florence Firestone,155-w-69th-st-animo-florence-firestone,True,[],0,Animo Florence Firestone (Charter),,,,,,,Charter,False,
9,9,Charter,,3425 Manchester Blvd.,(323) 565-2100,Animo Inglewood,3425-manchester-blvd-animo-inglewood,True,[],0,Animo Inglewood (Charter),,,,,,,Charter,False,
10,10,Charter,,810-820 E. 111th Place,(323) 568-8613,Animo James B. Taylor,810-820-e-111th-place-animo-james-b-taylor,True,[],0,Animo James B. Taylor (Charter),,,,,,,Charter,False,
11,11,Charter,,1655 E. 27th Street,(323) 232-1857,Animo Jefferson,1655-e-27th-street-animo-jefferson,True,[],0,Animo Jefferson (Charter),,,,,,,Charter,False,
12,12,Charter,,12226 S Western Ave.,(323) 600-6099,Animo Legacy,12226-s-western-ave-animo-legacy,True,[],0,Animo Legacy (Charter),,,,,,,Charter,False,
13,13,Charter,,325 E 111th St.,(323) 420-2170,Animo Locke,325-e-111th-st-animo-locke,True,[],0,Animo Locke (Charter),,,,,,,Charter,False,
