,matched_id,rowid,school,district_y,address_y,original_name_y
0,0,,,,,
1,91,91,Alliance Cindy and Bill Simon Technology Academy High (Alliance College Ready Public Schools District),Alliance College Ready Public Schools District,10720 South Wilmington Ave.,Alliance Cindy and Bill Simon Technology Academy High (Alliance College Ready Public Schools District)
2,90,90,Alliance Virgil Roberts Leadership Academy (Alliance College Ready Public Schools District),Alliance College Ready Public Schools District,2941 West 70th St.,Alliance Virgil Roberts Leadership Academy (Alliance College Ready Public Schools District)
3,680,680,Animo City of Champions Charter High (Green Dot Charter Schools District),Green Dot Charter Schools District,9330 South Eighth Ave.,Animo City of Champions Charter High (Green Dot Charter Schools District)
4,682,682,Animo Florence-Firestone Charter Middle (Green Dot Charter Schools District),Green Dot Charter Schools District,8255 Beach St.,Animo Florence-Firestone Charter Middle (Green Dot Charter Schools District)
5,676,676,Animo Inglewood Charter High (Green Dot Charter Schools District),Green Dot Charter Schools District,3425 West Manchester Blvd.,Animo Inglewood Charter High (Green Dot Charter Schools District)
6,684,684,Animo James B. Taylor Charter Middle (Green Dot Charter Schools District),Green Dot Charter Schools District,810 East 111th Pl.,Animo James B. Taylor Charter Middle (Green Dot Charter Schools District)
7,685,685,Animo Jefferson Charter Middle (Green Dot Charter Schools District),Green Dot Charter Schools District,1655 East 27th St.,Animo Jefferson Charter Middle (Green Dot Charter Schools District)
8,686,686,Animo Legacy Charter Middle (Green Dot Charter Schools District),Green Dot Charter Schools District,12226 South Western Ave.,Animo Legacy Charter Middle (Green Dot Charter Schools District)
9,0,,,,,
10,675,675,Oscar De La Hoya Animo Charter High (Green Dot Charter Schools District),Green Dot Charter Schools District,1114 South Lorena St.,Oscar De La Hoya Animo Charter High (Green Dot Charter Schools District)
11,689,689,Animo Ralph Bunche Charter High (Green Dot Charter Schools District),Green Dot Charter Schools District,1655 East 27th St.,Animo Ralph Bunche Charter High (Green Dot Charter Schools District)
12,691,691,Animo Venice Charter High (Green Dot Charter Schools District),Green Dot Charter Schools District,820 Broadway St.,Animo Venice Charter High (Green Dot Charter Schools District)
13,878,878,APEX Academy / Matrix for Success Academy (Independent Charter Schools District),Independent Charter Schools District,"1309 North Wilton Pl., 3rd Fl.",APEX Academy / Matrix for Success Academy (Independent Charter Schools District)
14,882,882,Arts in Action Community Middle (Independent Charter Schools District),Independent Charter Schools District,745 South Kern Ave.,Arts in Action Community Middle (Independent Charter Schools District)
15,146,146,Aspire Slauson Academy Charter (Aspire Public Schools District),Aspire Public Schools District,123 West 59th St.,Aspire Slauson Academy Charter (Aspire Public Schools District)
16,143,143,Aspire Juanita Tate Academy Charter (Aspire Public Schools District),Aspire Public Schools District,123 West 59th St.,Aspire Juanita Tate Academy Charter (Aspire Public Schools District)
17,809,809,Birmingham Community Charter High (Independent Charter Schools District),Independent Charter Schools District,17000 Haynes St.,Birmingham Community Charter High (Independent Charter Schools District)
18,844,844,Da Vinci RISE High (Independent Charter Schools District),Independent Charter Schools District,201 North Douglas St.,Da Vinci RISE High (Independent Charter Schools District)
19,0,,,,,
20,841,841,Environmental Charter High (Independent Charter Schools District),Independent Charter Schools District,16315 Grevillea Ave.,Environmental Charter High (Independent Charter Schools District)
21,852,852,Environmental Charter Middle (Independent Charter Schools District),Independent Charter Schools District,812 West 165th Pl.,Environmental Charter Middle (Independent Charter Schools District)
22,866,866,Gabriella Charter (Independent Charter Schools District),Independent Charter Schools District,1435 Logan St.,Gabriella Charter (Independent Charter Schools District)
23,764,764,ICEF Innovation Los Angeles Charter (ICEF Public Schools District),ICEF Public Schools District,5029 South Vermont Ave.,ICEF Innovation Los Angeles Charter (ICEF Public Schools District)
24,837,837,Intellectual Virtues Academy of Long Beach (Independent Charter Schools District),Independent Charter Schools District,3601 Linden Ave.,Intellectual Virtues Academy of Long Beach (Independent Charter Schools District)
25,831,831,Larchmont Charter (Independent Charter Schools District),Independent Charter Schools District,1265 North Fairfax Ave.,Larchmont Charter (Independent Charter Schools District)
26,780,780,Libertas College Preparatory Charter (Independent Charter Schools District),Independent Charter Schools District,3875 Dublin Ave.,Libertas College Preparatory Charter (Independent Charter Schools District)
27,0,,,,,
